%time,field.layout.data_offset,field.data0,field.data1
1660024647967391311,0,0.0,0.0
1660024648009365918,0,0.0,0.0
1660024648009376312,0,0.0,0.0
1660024648009390922,0,0.0,0.0
1660024648009443601,0,0.0,0.0
1660024648009645992,0,0.0,0.0
1660024648010994947,0,0.0,0.0
1660024648019706588,0,0.0,0.0
1660024648031998333,0,0.0,0.0
1660024648038923268,0,0.0,0.0
1660024648049267819,0,0.0,0.0
1660024648056879154,0,0.0,0.0
1660024648073598829,0,0.0,0.0
1660024648134605319,0,0.0,0.0
1660024648135966104,0,0.0,0.0
1660024648138696979,0,0.0,0.0
1660024648141996855,0,0.0,0.0
1660024648146758180,0,0.0,0.0
1660024648157268501,0,0.0,0.0
1660024648173660738,0,0.0,0.0
1660024648218186115,0,0.0,0.0
1660024648218215691,0,0.0,0.0
1660024648218245751,0,0.0,0.0
1660024648218260717,0,0.0,0.0
1660024648218576170,0,0.0,0.0
1660024648225922333,0,0.0,0.0
1660024648230798724,0,0.0,0.0
1660024648233383211,0,0.0,0.0
1660024648324071321,0,0.0,0.0
1660024648329728416,0,0.0,0.0
1660024648337093910,0,0.0,0.0
1660024648341009659,0,0.0,0.0
1660024648343407128,0,0.0,0.0
1660024648343456106,0,0.0,0.0
1660024648344358210,0,0.0,0.0
1660024648364183106,0,0.0,0.0
1660024648364227580,0,0.0,0.0
1660024648364241033,0,0.0,0.0
1660024648364796874,0,0.0,0.0
1660024648366877164,0,0.0,0.0
1660024648367920659,0,0.0,0.0
1660024648452401896,0,0.0,0.0
1660024648452442140,0,0.0,0.0
1660024648452482721,0,0.0,0.0
1660024648452497428,0,0.0,0.0
1660024648468252498,0,0.0,0.0
1660024648468290029,0,0.0,0.0
1660024648468297521,0,0.0,0.0
1660024648468347358,0,0.0,0.0
1660024648468359352,0,0.0,0.0
1660024648468385125,0,0.0,0.0
1660024648468422566,0,0.0,0.0
1660024648468809785,0,0.0,0.0
1660024648480534232,0,0.0,0.0
1660024648517655463,0,0.0,0.0
1660024648517712937,0,0.0,0.0
1660024648529451682,0,0.0,0.0
1660024648533157021,0,0.0,0.0
1660024648534325356,0,0.0,0.0
1660024648565426219,0,0.0,0.0
1660024648565614553,0,0.0,0.0
1660024648565626306,0,0.0,0.0
1660024648570566892,0,0.0,0.0
1660024648581220711,0,0.0,0.0
1660024648609063556,0,0.0,0.0
1660024648609074293,0,0.0,0.0
1660024648644148810,0,0.0,0.0
1660024648644192477,0,0.0,0.0
1660024648644218906,0,0.0,0.0
1660024648644226011,0,0.0,0.0
1660024648648928056,0,0.0,0.0
1660024648656619090,0,0.0,0.0
1660024648668417330,0,0.0,0.0
1660024648677011330,0,0.0,0.0
1660024648688743498,0,0.0,0.0
1660024648753567610,0,0.0,0.0
1660024648767226719,0,0.0,0.0
1660024648767272472,0,0.0,0.0
1660024648767298249,0,0.0,0.0
1660024648769139836,0,0.0,0.0
1660024648769159211,0,0.0,0.0
1660024648772578165,0,0.0,0.0
1660024648773244773,0,0.0,0.0
1660024648778981435,0,0.0,0.0
1660024648786557341,0,0.0,0.0
1660024648801937396,0,0.0,0.0
1660024648816087825,0,0.0,0.0
1660024648822568976,0,0.0,0.0
1660024648827600764,0,0.0,0.0
1660024648836618646,0,0.0,0.0
1660024648849101546,0,0.0,0.0
1660024648862075141,0,0.0,0.0
1660024648869894251,0,0.0,0.0
1660024648877433812,0,0.0,0.0
1660024648891248230,0,0.0,0.0
1660024648907463382,0,0.0,0.0
1660024648909578659,0,0.0,0.0
1660024648916666707,0,0.0,0.0
1660024648928182477,0,0.0,0.0
1660024648937947765,0,0.0,0.0
1660024648950902881,0,0.0,0.0
1660024648957330238,0,0.0,0.0
1660024648972195082,0,0.0,0.0
1660024648976512168,0,0.0,0.0
1660024648986774836,0,0.0,0.0
1660024648996796935,0,0.0,0.0
1660024649013042091,0,0.0,0.0
1660024649017411128,0,0.0,0.0
1660024649029136792,0,0.0,0.0
1660024649038161113,0,0.0,0.0
1660024649047969555,0,0.0,0.0
1660024649056412421,0,0.0,0.0
1660024649068254469,0,0.0,0.0
1660024649079118156,0,0.0,0.0
1660024649086509832,0,0.0,0.0
1660024649097148227,0,0.0,0.0
1660024649110248613,0,0.0,0.0
1660024649116871125,0,0.0,0.0
1660024649128183675,0,0.0,0.0
1660024649137491091,0,0.0,0.0
1660024649146989125,0,0.0,0.0
1660024649157176344,0,0.0,0.0
1660024649179115499,0,0.0,0.0
1660024649179168689,0,0.0,0.0
1660024649188038937,0,0.0,0.0
1660024649196939279,0,0.0,0.0
1660024649208123121,0,0.0,0.0
1660024649221502317,0,0.0,0.0
1660024649226707122,0,0.0,0.0
1660024649237094731,0,0.0,0.0
1660024649246505696,0,0.0,0.0
1660024649259772461,0,0.0,0.0
1660024649266558161,0,0.0,0.0
1660024649369699957,0,0.0,0.0
1660024649369756379,0,0.0,0.0
1660024649369782889,0,0.0,0.0
1660024649369865731,0,0.0,0.0
1660024649383585075,0,0.0,0.0
1660024649383646176,0,0.0,0.0
1660024649383675126,0,0.0,0.0
1660024649386479552,0,0.0,0.0
1660024649386509900,0,0.0,0.0
1660024649386544149,0,0.0,0.0
1660024649386571929,0,0.0,0.0
1660024649398428490,0,0.0,0.0
1660024649400405135,0,0.0,0.0
1660024649406547720,0,0.0,0.0
1660024649450337941,0,0.0,0.0
1660024649450389701,0,0.0,0.0
1660024649450416369,0,0.0,0.0
1660024649450460698,0,0.0,0.0
1660024649456840895,0,0.0,0.0
1660024649466634732,0,0.0,0.0
1660024649476707650,0,0.0,0.0
1660024649495870800,0,0.0,0.0
1660024649499526077,0,0.0,0.0
1660024649507976539,0,0.0,0.0
1660024649522026105,0,0.0,0.0
1660024649527124892,0,0.0,0.0
1660024649536983018,0,0.0,0.0
1660024649601496746,0,0.0,0.0
1660024649601504469,0,0.0,0.0
1660024649601528162,0,0.0,0.0
1660024649601544735,0,0.0,0.0
1660024649601553354,0,0.0,0.0
1660024649601634757,0,0.0,0.0
1660024649610072496,0,0.0,0.0
1660024649632241991,0,0.0,0.0
1660024649634285516,0,0.0,0.0
1660024649638961156,0,0.0,0.0
1660024649654665695,0,0.0,0.0
1660024649658909991,0,0.0,0.0
1660024649668245535,0,0.0,0.0
1660024649677613326,0,0.0,0.0
1660024649742332823,0,0.0,0.0
1660024649742366274,0,0.0,0.0
1660024649742386989,0,0.0,0.0
1660024649742409325,0,0.0,0.0
1660024649742453009,0,0.0,0.0
1660024649744433214,0,0.0,0.0
1660024649747681997,0,0.0,0.0
1660024649940912561,0,0.0,0.0
1660024649949495870,0,0.0,0.0
1660024649949508788,0,0.0,0.0
1660024649949531063,0,0.0,0.0
1660024649949558226,0,0.0,0.0
1660024649949630763,0,0.0,0.0
1660024649949654730,0,0.0,0.0
1660024649949668852,0,0.0,0.0
1660024649949677441,0,0.0,0.0
1660024649949687594,0,0.0,0.0
1660024649949734543,0,0.0,0.0
1660024649949741284,0,0.0,0.0
1660024649949747502,0,0.0,0.0
1660024649949755387,0,0.0,0.0
1660024649949823662,0,0.0,0.0
1660024649955087044,0,0.0,0.0
1660024649955095400,0,0.0,0.0
1660024649955101803,0,0.0,0.0
1660024649955129382,0,0.0,0.0
1660024649955172142,0,0.0,0.0
1660024649956661670,0,0.0,0.0
1660024649966809000,0,0.0,0.0
1660024649978785272,0,0.0,0.0
1660024650003439542,0,0.0,0.0
1660024650017520298,0,0.0,0.0
1660024650017544443,0,0.0,0.0
1660024650017549600,0,0.0,0.0
1660024650106439614,0,0.0,0.0
1660024650112246137,0,0.0,0.0
1660024650116989853,0,0.0,0.0
1660024650117424818,0,0.0,0.0
1660024650117844926,0,0.0,0.0
1660024650121468479,0,0.0,0.0
1660024650122974605,0,0.0,0.0
1660024650122995634,0,0.0,0.0
1660024650123005872,0,0.0,0.0
1660024650142102212,0,0.0,0.0
1660024650142130771,0,0.0,0.0
1660024650142152482,0,0.0,0.0
1660024650146379810,0,0.0,0.0
1660024650170206463,0,0.0,0.0
1660024650172390866,0,0.0,0.0
1660024650177305448,0,0.0,0.0
1660024650186826186,0,0.0,0.0
1660024650200763292,0,0.0,0.0
1660024650207454416,0,0.0,0.0
1660024650221685581,0,0.0,0.0
1660024650227743122,0,0.0,0.0
1660024650262089487,0,0.0,0.0
1660024650265727457,0,0.0,0.0
1660024650267989664,0,0.0,0.0
1660024650295743523,0,0.0,0.0
1660024650296047295,0,0.0,0.0
1660024650296072975,0,0.0,0.0
1660024650306816050,0,0.0,0.0
1660024650317781540,0,0.0,0.0
1660024650317857548,0,0.0,0.0
1660024650326826010,0,0.0,0.0
1660024650425396057,0,0.0,0.0
1660024650425421525,0,0.0,0.0
1660024650425461643,0,0.0,0.0
1660024650506756325,0,0.0,0.0
1660024650506783874,0,0.0,0.0
1660024650511860528,0,0.0,0.0
1660024650511886615,0,0.0,0.0
1660024650511891328,0,0.0,0.0
1660024650511895706,0,0.0,0.0
1660024650511922057,0,0.0,0.0
1660024650511976286,0,0.0,0.0
1660024650511999051,0,0.0,0.0
1660024650512024564,0,0.0,0.0
1660024650512071994,0,0.0,0.0
1660024650512098147,0,0.0,0.0
1660024650518615936,0,0.0,0.0
1660024650518637140,0,0.0,0.0
1660024650518666950,0,0.0,0.0
1660024650518691594,0,0.0,0.0
1660024650527057931,0,0.0,0.0
1660024650574538838,0,0.0,0.0
1660024650574640574,0,0.0,0.0
1660024650574663185,0,0.0,0.0
1660024650590645782,0,0.0,0.0
1660024650592129214,0,0.0,0.0
1660024650592157784,0,0.0,0.0
1660024650618380482,0,0.0,0.0
1660024650618450326,0,0.0,0.0
1660024650618622981,0,0.0,0.0
1660024650633193578,0,0.0,0.0
1660024650637044996,0,0.0,0.0
1660024650660619259,0,0.0,0.0
1660024650660655122,0,0.0,0.0
1660024650667041758,0,0.0,0.0
1660024650678166200,0,0.0,0.0
1660024650701907231,0,0.0,0.0
1660024650716310291,0,0.0,0.0
1660024650716362257,0,0.0,0.0
1660024650719812118,0,0.0,0.0
1660024650726556628,0,0.0,0.0
1660024650737982069,0,0.0,0.0
