,X,Y,Psi,vx,vy,r,throttle,steering,dvx,dvy,dr
3,0.162054832149934,0.2875993189766985,-0.8709812243424421,0.01,-0.00020387124416433762,0.0026512701993404867,0.0,0.0,0.0,-55.203961634190996,53.190715339686435
4,0.1620491335148156,0.287604521179611,-0.8709577617362952,0.01,-0.0002927370630795512,-0.00014299717794993044,0.0,0.0,0.0,-1.6869306348870243,-53.04328816588047
5,0.1620459665426583,0.2876060279910029,-0.8709750014478153,0.01,0.0005536037991652259,0.0033524567180749014,0.0,0.0,0.0,4.181711944922339,17.270797100784282
7,0.1620385155107092,0.2876030394338765,-0.8709407364268716,0.01,0.0006621604130646245,-0.006247150837471385,0.0,0.0,0.0,0.012461098190271908,-1.1019287359920231
8,0.1620481190006285,0.2875901325286244,-0.8709232170451915,0.01,-0.0004720826715745907,-0.0024062216167699078,0.0,0.0,0.0,-0.09227681542687513,0.312480385876983
9,0.1620524633076318,0.2875803192815603,-0.8710288054007309,0.01,-7.1276807053732e-05,0.0019491437451097068,0.0,0.0,0.0,0.05787864644518089,0.6289395296677318
10,0.1620423343565936,0.2875804850073148,-0.87096470779162,0.01,-0.0004630245054359219,0.0003459577484758767,0.0,0.0,0.0,-0.037869956693353815,-0.15497878995751774
11,0.1620372745953611,0.2875726932803115,-0.8710108750013404,0.01,0.0003729415621761564,0.00135081173829747,0.0,0.0,0.0,0.1098317269719541,0.13202072827192513
12,0.1620248324541392,0.2875704319159473,-0.8709562993950983,0.01,-0.0003634841751843201,-0.001531552941452069,0.0,0.0,0.0,-0.044045457663529734,-0.1723935829942591
13,0.1620277331892979,0.2875690926678914,-0.8709555556382339,0.01,-0.0005307451107463938,-0.014227466902525566,0.0,0.0,0.0,-0.0027416908522695494,-0.20810759578322727
14,0.1620219960001503,0.2875554953436808,-0.8710769822328261,0.01,0.0005001721660869397,-0.0002810951701867569,0.0,0.0,0.0,0.7575901239603122,10.24876944729609
15,0.1620277400622584,0.2875525927693238,-0.8710694702772535,0.01,-0.0003445767310993873,0.0007199204640205065,0.0,0.0,0.0,-0.3093326853797142,0.36655490793509893
16,0.1620162938740503,0.2875587668877667,-0.8710596488041321,0.01,1.505924623350851e-05,0.002683713783003201,0.0,0.0,0.0,0.10898469437424187,0.5951112462961319
17,0.1620228217497695,0.2875534461472389,-0.8710628896606724,0.01,-0.0006663628959632838,0.005321004266753759,0.0,0.0,0.0,-0.14311607424336553,0.5538984387225316
18,0.1620148457967961,0.2875577184618201,-0.8710479958036221,0.01,-0.0006050316189381131,0.007393966703527161,0.0,0.0,0.0,0.005835338142876005,0.19723112517433125
19,0.1619971316385848,0.2875448696885322,-0.8709235916409843,0.01,-0.00040915451506198233,-0.00026270764983835076,0.0,0.0,0.0,0.011949382129853955,-0.46709148686451474
20,0.1620068882756209,0.2875380330450518,-0.8709333137988402,0.01,-0.00032644548526569267,-0.06415740706647709,0.0,0.0,0.0,0.001857570566921638,-1.4350175949467814
22,0.1620114850531473,0.287540043568574,-0.8709291206763347,0.01,-0.0008549449132496238,-0.03506569181951711,0.0,0.0,0.0,-17.58148463020396,967.7882650352622
24,0.1620039647644328,0.2875423497352377,-0.8709352477566316,0.01,-8.329780272829288e-05,-0.047038416958548615,0.0,0.0,0.0,2.4461555620689324,-37.95406966816453
25,0.1619876095842173,0.287521262465201,-0.8709654717263076,0.01,0.00015733763242813115,-0.0008962376232822347,0.0,0.0,0.0,0.03275661527744811,6.281126533030425
26,0.1619929637183428,0.287516098938625,-0.8709660003783422,0.01,-0.0003671562805257592,0.008144502977028671,0.0,0.0,0.0,-0.10755780513783458,1.853981889538986
28,0.1620013955183898,0.2875245021189059,-0.8708970415139271,0.01,-0.000822428336776843,-0.006674384382279617,0.0,0.0,0.0,-0.005020195660170708,-0.16340496410508817
29,0.1619970750865854,0.2875168081034605,-0.8709407931130478,0.01,5.445919892926453e-05,-0.00624142660029258,0.0,0.0,0.0,0.15500668376721755,0.0765335887035726
30,0.1619809242668885,0.2875129833562343,-0.8709703588588122,0.01,-0.0006975057721525467,-0.003000101860668086,0.0,0.0,0.0,-0.1020929446255487,0.44006888602780664
31,0.1619675289496558,0.28750394796453,-0.8710062605116955,0.01,6.320734612410726e-05,-0.002497145561286072,0.0,0.0,0.0,0.1942701430241453,0.12844446857600275
32,0.1619696250240201,0.2874991729811433,-0.8709861984494469,0.01,-0.0010051054571160608,0.0003869130986712859,0.0,0.0,0.0,-0.44560025728806835,1.20295972959707
33,0.1619609627884515,0.2875016833099593,-0.8709892452500506,0.01,-0.0005155483422874513,-9.03272983568559e-05,0.0,0.0,0.0,9.995449279852373,-9.743974785171746
34,0.1619656646075765,0.2874932627341516,-0.8710066946108553,0.01,-0.0006033286567486759,0.0005489762165057972,0.0,0.0,0.0,-0.09730620245695021,0.7086805012090103
35,0.1619592685964549,0.287496178080741,-0.8709781444911474,0.01,-0.0008937021765448309,-0.0015426189173557785,0.0,0.0,0.0,-0.014646912639347764,-0.10550346059124728
38,0.1619525110674611,0.2874972497244501,-0.8709911238560653,0.01,-0.0001514847252251561,-0.0039217271925691185,0.0,0.0,0.0,1.3353053324955784,-4.2801957308175185
39,0.1619558608540549,0.2874920906827595,-0.8710079948024083,0.01,0.00012353910445291744,-0.004421897991484633,0.0,0.0,0.0,0.13220456267062453,-0.24043320831014656
40,0.1619923832414871,0.2875456828731265,-0.8708352563098022,0.01,0.00032817936507353494,-0.3104673309926672,0.0,0.0,0.0,0.1961104371564957,-293.28883511773665
41,0.1619932656977412,0.2875361975802975,-0.8708383356566896,0.01,-0.0004675035309462006,0.29964765141782174,0.0,0.0,0.0,-0.009418456976662588,7.221899253327564
44,0.1619866737004673,0.287540400112121,-0.8708213686015895,0.01,-0.0006502580331730387,0.4799056643254099,0.0,0.0,0.0,-12.426361747932145,12256.613375099485
45,0.1619782676003377,0.2875540216698363,-0.8707437872709768,0.01,-2.790868039928969e-05,-0.05794419567923852,0.0,0.0,0.0,0.03950152889030318,-34.13820820882728
52,0.161971671191602,0.2875516509458992,-0.8707948968083313,0.01,-0.00030816924531344454,-0.0005136192085205115,0.0,0.0,0.0,-0.7237779264812803,148.31549193277706
53,0.1619714441991564,0.2875519662801329,-0.8708453859397699,0.01,0.00026490710139841195,0.00014965613348278393,0.0,0.0,0.0,0.04887875280700715,0.05657199371563498
54,0.1619576657512642,0.2875491433500951,-0.8708036959753425,0.01,-0.0006317483537930496,-0.000382938077973862,0.0,0.0,0.0,-0.024154787732967732,-0.014347428603772487
55,0.1619539620313698,0.2875486173647357,-0.8708300842954235,0.01,0.00019375107053196952,-0.0006031849598462641,0.0,0.0,0.0,14.363006304155254,-3.8321133359850035
56,0.1619573968590731,0.2875454731143623,-0.8708138267632702,0.01,-0.0009256230205388406,-0.012114478611136582,0.0,0.0,0.0,-0.09535722013475972,-0.9806238785568916
57,0.1619479082243249,0.287549545386424,-0.8708096339594619,0.01,-0.0003719896553940322,-0.011898494675772855,0.0,0.0,0.0,0.14941503736764933,0.058289925797268986
58,0.1619521956406903,0.2875435599627895,-0.8708367433772283,0.01,-0.0003648823834570889,-0.005113996205627031,0.0,0.0,0.0,0.006083248329411769,5.806980420980134
59,0.1619489165590943,0.2875434047080642,-0.871015176493794,0.01,7.647443508930891e-05,-0.022878155454030623,0.0,0.0,0.0,0.014191143781006907,-0.5711789813807929
60,0.1619425689388841,0.2875410318072835,-0.870998048330666,0.01,-0.0008834043514058478,0.010712652166524058,0.0,0.0,0.0,-5.096683479855771,178.3576391971427
62,0.1619293937562109,0.2875385235614028,-0.8709451503898088,0.01,-0.0006885831629291446,0.008780612757519478,0.0,0.0,0.0,0.03943280988868594,-0.3910547066693263
63,0.1619391266076521,0.2875487221125163,-0.8707961537335525,0.01,-0.0008373588534830204,-2.6260862665851554e-05,0.0,0.0,0.0,-0.013964540842478728,-0.8266400640169812
64,0.1619437489474984,0.287545267765226,-0.8708176982958454,0.01,-0.000580506593199298,0.0016172447875645857,0.0,0.0,0.0,0.0092250723761786,0.05902793519234249
66,0.1619363906482426,0.2875444594816428,-0.8708267761185368,0.01,0.00022811078345772237,0.2008429784098022,0.0,0.0,0.0,0.023054269761063867,5.680070622846713
70,0.1619453225922923,0.2875799824232414,-0.8707461359482588,0.01,0.00039627548741412693,-0.0009142115690229998,0.0,0.0,0.0,0.03576416303042709,-42.90839198238749
71,0.1619536762280691,0.2875863838848122,-0.8707593342817233,0.01,-0.0006665139286729162,0.0023882721456079956,0.0,0.0,0.0,-0.13818550484720818,0.4293939819575619
72,0.1619538016081862,0.2875896817637478,-0.8707443692058616,0.01,-0.00046398731738407455,0.002688565105347172,0.0,0.0,0.0,0.017165832470677125,0.025452352193138666
73,0.1619483047821942,0.2875987476847071,-0.8707049164333279,0.01,-0.0005043162240652192,0.0007947081451739766,0.0,0.0,0.0,-0.004692681717610498,-0.2203696718842443
74,0.1619524290942943,0.2876041644709402,-0.8706906793565231,0.01,-0.0006029776140311803,0.0006016614909819503,0.0,0.0,0.0,-0.008409476404187283,-0.016454474074359172
75,0.1619348420349737,0.2876056129364205,-0.8706440917566822,0.01,-0.00035605702929312913,-0.00023101534291446781,0.0,0.0,0.0,0.003809085494885779,-0.012845171467931842
76,0.1619370727927244,0.2876035488308077,-0.8706677261086372,0.01,-8.755722007878456e-05,0.021114833888608433,0.0,0.0,0.0,0.019657197933946102,1.5627556110375063
77,0.1619324670660772,0.28760834548308,-0.8706442953607048,0.01,-0.0007142602377918879,0.012390881277353489,0.0,0.0,0.0,-13.697528418095063,-190.67498549286265
78,0.1619231581141481,0.2876138768040307,-0.8706472724948964,0.01,1.6150418026840587e-05,-0.020923930825101925,0.0,0.0,0.0,28.335751088905944,-1292.4239478005745
